Site_ID ,IoU_mtpi_WS,IoU_mtpi_RG,SUCCESS,difference
Site ID 5-1,0.7133065,0.6916574,mtpi_WS,0.0216491
Site ID 5-2,0.6003428,0.3089561,mtpi_WS,0.2913867
Site ID 5-3,0.7130259,0.4737256,mtpi_WS,0.2393003
Site ID 5-4,0.5765421,0.3383026,mtpi_WS,0.2382395
Site ID 5-5,0.5115062,0.3307759,mtpi_WS,0.1807303
Site ID 5-6,0.5890535,0.4425936,mtpi_WS,0.1464599
Site ID 5-7,0.6735597,0.4919391,mtpi_WS,0.1816206
Site ID 5-8,0.5290715,0.2553324,mtpi_WS,0.2737391
Site ID 5-9,0.4605544,0.4591942,mtpi_WS,0.0013602
Site ID 7-1,NA,0.442774,mtpi_RG,
Site ID 7-2,0.804681,0.4973026,mtpi_WS,0.3073784
Site ID 7-3,0.6831214,0.4453112,mtpi_WS,0.2378102
Site ID 7-4,0.5397044,NA,mtpi_WS,
Site ID 7-5,0.5403348,0.3031546,mtpi_WS,0.2371802
Site ID 7-6,0.2942167,0.1334789,mtpi_WS,0.1607378
Site ID 7-7,0.432601,NA,mtpi_WS,
Site ID 7-8,0.6669532,0.3527253,mtpi_WS,0.3142279
Site ID 7-9,0.4702287,NA,mtpi_WS,
Site ID 9,0.4634704,NA,mtpi_WS,
Site ID 14-1,NA ,0.3391305,mtpi_RG,
Site ID 14-2,0.6061152,0.5231582,mtpi_WS,0.082957
Site ID 14-3,0.5767704,NA,mtpi_WS,
Site ID 14-4,0.3778608,0.1315178,mtpi_WS,0.246343
Site ID 14-5,0.4620573,0.2316558,mtpi_WS,0.2304015
Site ID 14-6,NA,0.1310698,mtpi_RG,
Site ID 14-7,0.6880029,0.5178548,mtpi_WS,0.1701481
Site ID 14-8,NA,NA,NA,
Site ID 14-9,0.5652943,0.2414775,mtpi_WS,0.3238168
Site ID 14-10,0.5316726,0.4640401,mtpi_WS,0.0676325
Site ID 14-11,NA,0.2050009,mtpi_RG,
Site ID 14-12,0.5927712,0.2642519,mtpi_WS,0.3285193
Site ID 14-13,0.5579679,0.4759892,mtpi_WS,0.0819787
Site ID 14-14,0.387372,NA,mtpi_WS,
Site ID 14-15,0.3837281,0.3126799,mtpi_WS,0.0710482
Site ID 14-16,0.4654447,0.2659693,mtpi_WS,0.1994754
Site ID 14-17,0.4304659,0.3467625,mtpi_WS,0.0837034
Site ID 14-18,NA,0.2179641,mtpi_RG,
Site ID 14-19,0.7427452,0.5368112,mtpi_WS,0.205934
Site ID 35-1,0.5945741,0.559646,mtpi_WS,0.0349281
Site ID 35-2,0.6019239,NA,mtpi_WS,
