,,,,,,
POINT CLOUD CLASSIFICATION,,,,,,
Progressive Morphological Filter,,,,,,
,ws,th,,,,
pmf ,5,3,,,,
pmf_th1,5,1,,,,
pmf_th05,5,0.5,,,,
pmf_th005,5,0.05,,,,
Cloth Simulation Function,,,,,,
,sloop_smooth,class_threshold,cloth_resolution,rigidness,iterations,time_step
csf,FALSE,0.5,0.5,1,500,0.65
csf2,TRUE,0.5,0.5,1,500,0.65
csf3,TRUE,0.5,0.5,2,500,0.65
SPATIAL INTERPOLATION,,,,,,
Traingulated Irregular Network (TIN),,,,,,
_tin05,default,,,,,
Inverse Distance Weighing,,,,,,
,k,p,rmax,,,
_idw05,10,2,50,,,
_idw05_2,50,3,50,,,
_idw05_3,5,2,25,,,
_idw05_4,20,4,50,,,
_idw05_5,50,6,25,,,
